                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.19398,                0.51667,                      1,                0.32983,              0.0001785,              0.0001785,              0.0001785
                      1,                0.14516,                0.63333,                      1,                0.31372,             0.00034612,             0.00034612,             0.00034612
                      2,                0.08732,                0.63333,                      1,                0.30566,             0.00049535,             0.00049535,             0.00049535
                      3,                0.04754,                0.66667,                      1,                0.29712,             0.00060797,             0.00060797,             0.00060797
                      4,                0.02445,                   0.65,                      1,                0.29993,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01703,                0.66667,                      1,                0.29126,             0.00057263,             0.00057263,             0.00057263
                      6,                0.00867,                   0.75,                      1,                0.27917,             0.00053728,             0.00053728,             0.00053728
                      7,                0.00657,                0.76667,                      1,                0.27338,             0.00050194,             0.00050194,             0.00050194
                      8,                 0.0061,                0.76667,                      1,                0.27856,              0.0004666,              0.0004666,              0.0004666
                      9,                0.00414,                    0.7,                      1,                0.28583,             0.00043126,             0.00043126,             0.00043126
                     10,                0.00473,                   0.65,                      1,                0.28613,             0.00039591,             0.00039591,             0.00039591
                     11,                0.00483,                0.73333,                      1,                0.27954,             0.00036057,             0.00036057,             0.00036057
                     12,                0.00389,                0.73333,                      1,                0.28186,             0.00032523,             0.00032523,             0.00032523
                     13,                0.00207,                   0.65,                      1,                0.29126,             0.00028988,             0.00028988,             0.00028988
                     14,                0.00224,                0.71667,                      1,                0.28052,             0.00025454,             0.00025454,             0.00025454
                     15,                 0.0052,                0.71667,                      1,                0.27667,              0.0002192,              0.0002192,              0.0002192
                     16,                0.00303,                    0.7,                      1,                0.27429,             0.00018385,             0.00018385,             0.00018385
                     17,                0.00178,                0.73333,                      1,                0.26758,             0.00014851,             0.00014851,             0.00014851
                     18,                0.00129,                0.71667,                      1,                0.27643,             0.00011317,             0.00011317,             0.00011317
                     19,                0.00093,                0.73333,                      1,                  0.271,             7.7826e-05,             7.7826e-05,             7.7826e-05
